$ PRE_CELL 301000
1591 5229 3001512
8993 22298 3001513
3055 13952 3001514
359 4625 3001515
1420 20057 3001516
5946 17600 3001517
2831 15729 3001518
12251 20221 3001519
2270 4536 3001520
8920 11923 3001521
567 2021 3001522
4792 3903 3001523
10593 21237 3001524
4200 15531 3001525
5063 19196 3001526
454 12821 3001527
3997 10775 3001528
12499 21888 3001529
5150 8946 3001530
3714 7151 3001531
6661 19747 3001532
1519 11023 3001533
11877 16089 3001534
8316 11270 3001535
7401 4734 3001536
1778 539 3001537
7218 18634 3001538
3207 16289 3001539
7453 6013 3001540
10865 21018 3001541
11024 14646 3001542
11094 15193 3001543
11974 15173 3001544
10622 21238 3001545
11424 10197 3001546
10594 21376 3001547
11094 15191 3001548
11040 21239 3001549
10091 21377 3001550
