$ PRE_CELL 300000
8217 177 3001069
9905 5259 3001070
17639 5575 3001071
3255 9177 3001072
16084 11742 3001073
5729 252 3001074
8903 1104 3001075
11954 8704 3001076
16190 11877 3001077
17003 2752 3001078
3007 8031 3001079
8494 7941 3001080
10226 925 3001081
3917 6364 3001082
796 2221 3001083
20252 3941 3001084
17981 7760 3001085
7103 1296 3001086
14973 1407 3001087
15963 8894 3001088
5915 1998 3001089
11698 4988 3001090
21486 12361 3001091
1701 3754 3001092
20365 1572 3001093
18313 6530 3001094
9083 4397 3001095
14581 2587 3001096
14580 2590 3001097
14902 5420 3001098
5242 2356 3001099
21166 12489 3001100
4593 3128 3001101
9580 2560 3001102
15651 1760 3001103
2861 8310 3001104
2358 2030 3001105
16903 4880 3001106
20837 2920 3001107
4057 388 3001108
16133 3186 3001109
17955 5168 3001110
20962 2849 3001111
8712 6980 3001112
4844 4704 3001113
6491 5108 3001114
14119 2378 3001115
12709 6584 3001116
12550 8706 3001117
18787 3193 3001118
446 3094 3001119
14399 6732 3001120
3324 9601 3001121
6203 1014 3001122
11177 7510 3001123
4015 6473 3001124
4726 9577 3001125
20508 4088 3001126
19510 7756 3001127
15129 2305 3001128
4056 482 3001129
17194 6129 3001130
5177 1624 3001131
6729 10969 3001132
14385 7997 3001133
12845 1868 3001134
2854 8745 3001135
16905 4883 3001136
21888 12482 3001137
14997 5183 3001138
19938 1706 3001139
18402 4587 3001140
15932 9315 3001141
2397 1454 3001142
5615 3673 3001143
14923 6950 3001144
2004 6845 3001145
10457 5295 3001146
14587 2599 3001147
17287 1555 3001148
20499 659 3001149
12611 6428 3001150
3864 6821 3001151
22280 8204 3001152
6725 4345 3001153
14777 8894 3001154
20308 4445 3001155
8731 1418 3001156
9640 3111 3001157
16008 4816 3001158
14577 2609 3001159
11062 4127 3001160
7148 3714 3001161
3472 9985 3001162
14885 8921 3001163
276 4226 3001164
8244 11219 3001165
18170 4756 3001166
6458 3253 3001167
12477 5832 3001168
613 2677 3001169
3933 10189 3001170
15981 2636 3001171
19143 11517 3001172
7885 7940 3001173
13294 535 3001174
19535 7052 3001175
15261 4700 3001176
2011 9548 3001177
16454 1237 3001178
14748 2645 3001179
5882 9196 3001180
728 4301 3001181
13634 1198 3001182
13759 8694 3001183
5065 482 3001184
6071 6059 3001185
4700 1165 3001186
12480 4734 3001187
6452 1910 3001188
1218 2684 3001189
9572 2768 3001190
9685 1082 3001191
9797 10249 3001192
17234 4899 3001193
16809 5307 3001194
3940 5734 3001195
14347 7695 3001196
8061 9070 3001197
17540 1898 3001198
18021 10430 3001199
9370 3997 3001200
5068 2536 3001201
21728 8998 3001202
14240 8214 3001203
5521 6521 3001204
11061 5506 3001205
18923 6125 3001206
8536 8414 3001207
1971 4775 3001208
1473 4777 3001209
19576 11542 3001210
3761 2497 3001211
12118 1790 3001212
17964 4100 3001213
13255 6989 3001214
16861 10297 3001215
9089 9878 3001216
17158 1759 3001217
4711 8792 3001218
18259 4621 3001219
12560 7460 3001220
8220 688 3001221
10134 2093 3001222
3901 5188 3001223
16299 2264 3001224
5449 6269 3001225
6648 10703 3001226
17546 1884 3001227
14938 8657 3001228
4499 7838 3001229
1913 3747 3001230
21238 10622 3001231
21237 10831 3001232
15593 11095 3001233
21311 10594 3001234
21163 11081 3001235
8855 11683 3001236
8854 11683 3001237
21088 11040 3001238
21090 10831 3001239
20205 11543 3001240
