$ PRE_CELL 300000
4406 9953 3000515
15004 3652 3000516
19967 11891 3000517
17491 11599 3000518
18079 5049 3000519
13455 2294 3000520
15799 1897 3000521
17727 5339 3000522
3611 481 3000523
18923 6124 3000524
16581 1070 3000525
7247 6617 3000526
12005 8628 3000527
5805 2535 3000528
13165 8693 3000529
6975 1437 3000530
20920 3683 3000531
6299 2535 3000532
15259 3242 3000533
4631 251 3000534
8809 11535 3000535
6177 3348 3000536
3238 2239 3000537
14827 7953 3000538
3427 5205 3000539
21647 1337 3000540
11407 5831 3000541
13198 7036 3000542
5890 6211 3000543
8251 1696 3000544
10704 4281 3000545
6004 4769 3000546
19941 386 3000547
2859 9220 3000548
17013 4255 3000549
16004 1397 3000550
3911 5205 3000551
13715 8181 3000552
5614 2536 3000553
4499 7402 3000554
16733 1555 3000555
19332 11601 3000556
18588 5980 3000557
3153 2198 3000558
14284 9045 3000559
14732 1116 3000560
21617 9394 3000561
7325 7450 3000562
7242 6784 3000563
1214 511 3000564
8755 2557 3000565
19940 534 3000566
19066 755 3000567
5549 4208 3000568
13378 1940 3000569
16986 400 3000570
9028 4755 3000571
14035 2130 3000572
2637 9529 3000573
8717 3106 3000574
6146 3677 3000575
3452 9872 3000576
17598 6530 3000577
1222 202 3000578
4808 9636 3000579
15050 2579 3000580
11985 5207 3000581
5227 1596 3000582
11244 9877 3000583
5502 5781 3000584
3328 7908 3000585
1596 3574 3000586
6224 2266 3000587
13052 9556 3000588
18122 755 3000589
8796 1364 3000590
769 3751 3000591
603 5993 3000592
20487 3683 3000593
698 5993 3000594
20860 12447 3000595
6629 6894 3000596
8577 9597 3000597
6974 570 3000598
9036 4263 3000599
10377 5150 3000600
1239 4307 3000601
4380 5812 3000602
18463 844 3000603
466 1779 3000604
6719 6616 3000605
15227 2759 3000606
1092 2486 3000607
8717 2266 3000608
5273 8794 3000609
122 139 3000610
15593 11094 3000611
21163 10865 3000612
21089 10831 3000613
15594 10879 3000614
17361 11522 3000615
21018 10865 3000616
15173 11951 3000617
8809 11424 3000618
21016 11081 3000619
15194 11095 3000620
