$ PRE_CELL 300000
5273 8792 3000283
13905 1262 3000284
18400 4907 3000285
15889 5727 3000286
2022 1960 3000287
19819 6548 3000288
18783 4757 3000289
5402 6417 3000290
18714 5051 3000291
695 6567 3000292
7607 904 3000293
3061 9601 3000294
6724 5209 3000295
19470 3483 3000296
11349 8493 3000297
19423 11601 3000298
20499 731 3000299
13215 2791 3000300
15609 11951 3000301
8853 11582 3000302
8855 11582 3000303
8242 11536 3000304
20770 11221 3000305
15194 11095 3000306
20331 11544 3000307
10259 11538 3000308
20939 11040 3000309
21089 11081 3000310
8855 11536 3000311
8856 11422 3000312
20206 11576 3000313
15193 11094 3000314
15593 11094 3000315
15721 11024 3000316
21310 11040 3000317
9488 11725 3000318
21018 11040 3000319
13406 10879 3000320
