$ PRE_CELL 301000
1117 14433 3000534
6034 8176 3000535
12463 19312 3000536
8790 3570 3000537
2201 5050 3000538
3001 6460 3000539
565 4202 3000540
1001 7578 3000541
10973 3004 3000542
8643 22459 3000543
4614 16707 3000544
1001 8862 3000545
2221 928 3000546
1896 16004 3000547
3534 5677 3000548
3247 9737 3000549
1353 4653 3000550
5618 6249 3000551
4125 17893 3000552
3025 11051 3000553
7192 18632 3000554
6780 11364 3000555
8006 22281 3000556
1596 5073 3000557
1293 18514 3000558
2241 4701 3000559
7446 7935 3000560
6384 4936 3000561
970 8933 3000562
1012 6851 3000563
5692 5401 3000564
5001 10844 3000565
5641 5555 3000566
2711 12841 3000567
1511 10368 3000568
10255 4312 3000569
2643 16440 3000570
4744 8055 3000571
4116 15542 3000572
1274 8905 3000573
6919 4088 3000574
5711 3947 3000575
5950 17195 3000576
5727 14875 3000577
4943 9892 3000578
2772 12950 3000579
6410 6660 3000580
7259 10747 3000581
7253 5557 3000582
4283 18473 3000583
5693 4382 3000584
7779 14289 3000585
3769 9723 3000586
3993 6333 3000587
5499 6337 3000588
2576 18692 3000589
327 6967 3000590
7412 1869 3000591
1667 16581 3000592
2636 16749 3000593
6426 14375 3000594
12117 21973 3000595
12450 19444 3000596
6533 18001 3000597
1469 11790 3000598
9533 2003 3000599
2777 18038 3000600
4756 17779 3000601
178 10239 3000602
347 3230 3000603
5618 6247 3000604
6994 4497 3000605
5605 12990 3000606
2902 6171 3000607
2135 18606 3000608
5188 4381 3000609
4501 4591 3000610
9743 21728 3000611
3352 7766 3000612
629 4204 3000613
3484 17541 3000614
4398 9789 3000615
2636 16871 3000616
5267 3366 3000617
1360 10972 3000618
7511 5296 3000619
906 5103 3000620
11221 20770 3000621
11205 15192 3000622
10831 21089 3000623
11951 16087 3000624
10831 21239 3000625
11094 14646 3000626
11683 8855 3000627
10865 21089 3000628
11421 20331 3000629
11095 15191 3000630
11274 16074 3000631
11422 8856 3000632
11951 15088 3000633
11974 16195 3000634
11436 16954 3000635
11024 15073 3000636
11040 21239 3000637
11424 8856 3000638
11095 15594 3000639
11094 15073 3000640
